name,area,wage,experience,frim,others
高级数据分析师,江南大道,15k-30k,"15k-30k
                        经验3-5年 / 本科",中信网科,金融 / 不需要融资 / 500-2000人
数据仓库工程师（创新中心）,珠江新城,12k-20k,"12k-20k
                        经验3-5年 / 本科",电声营销,广告营销 / 上市公司 / 2000人以上
数据分析专家,广卫,10k-15k,"10k-15k
                        经验3-5年 / 本科",茉莉传媒,广告营销 / 不需要融资 / 150-500人
数据分析经理,石牌,10k-20k,"10k-20k
                        经验3-5年 / 不限",北鱼游戏,游戏 / 未融资 / 50-150人
大数据算法工程师（数据开发）,珠江新城,16k-20k,"16k-20k
                        经验3-5年 / 本科",森焱国际供应链管理,"电商,其他 / 未融资 / 50-150人"
数据运营,环市东,5k-10k,"5k-10k
                        经验1-3年 / 本科",触电传媒,"移动互联网,文娱丨内容 / 不需要融资 / 150-500人"
数据产品总监,黄埔区,30k-40k,"30k-40k
                        经验5-10年 / 本科",云徙科技,"数据服务,移动互联网 / B轮 / 500-2000人"
大数据开发工程师,五山,15k-25k,"15k-25k
                        经验5-10年 / 本科",东方通,数据服务 / 上市公司 / 500-2000人
数据开发工程师,黄埔区,8k-13k,"8k-13k
                        经验3-5年 / 本科",广州荷德曼,其他 / 未融资 / 50-150人
数据分析实习生,西关,2k-3k,"2k-3k
                        经验应届毕业生 / 大专",华仝九方,"信息安全,数据服务 / 不需要融资 / 50-150人"
数据分析师,珠江新城,8k-15k,"8k-15k
                        经验应届毕业生 / 硕士",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
大数据产品经理,番禺区,15k-20k,"15k-20k
                        经验3-5年 / 本科",美的IoT,硬件 / 上市公司 / 2000人以上
游戏数据分析经理,跑马场,18k-25k,"18k-25k
                        经验3-5年 / 本科",PLAY800,"移动互联网,游戏 / 天使轮 / 150-500人"
数据分析师 (MJ001580),番禺区,10k-20k,"10k-20k
                        经验3-5年 / 本科",SHEIN,"电商,移动互联网 / C轮 / 2000人以上"
大数据平台架构师,黄埔区,15k-25k,"15k-25k
                        经验5-10年 / 本科",佰聆数据,"数据服务,软件开发 / 不需要融资 / 150-500人"
数据库开发,东湖,6k-8k,"6k-8k
                        经验1-3年 / 大专",福建八萃,"移动互联网,企业服务 / 未融资 / 150-500人"
数据测试工程师,珠江新城,6k-12k,"6k-12k
                        经验3-5年 / 不限",电声营销,广告营销 / 上市公司 / 2000人以上
高级数据咨询师,林和,15k-20k,"15k-20k
                        经验3-5年 / 本科",Gridsum 国双,"数据服务,企业服务 / 上市公司 / 500-2000人"
地产大数据系统推广经理,番禺区,15k-25k,"15k-25k
                        经验3-5年 / 本科",融山科技,金融 / 不需要融资 / 150-500人
大数据开发组长,海珠区,24k-30k,"24k-30k
                        经验5-10年 / 本科",CLPS,"数据服务,金融 / 未融资 / 500-2000人"
数据管理专员08-10-01,天河北,10k-16k,"10k-16k
                        经验3-5年 / 本科",大搜车,汽车丨出行 / D轮及以上 / 2000人以上
数据分析师,天河北,10k-18k,"10k-18k
                        经验3-5年 / 本科",舒可士,"移动互联网,医疗丨健康 / B轮 / 50-150人"
数据分析师（自助分析方向）,广州大道南,15k-20k,"15k-20k
                        经验5-10年 / 本科",钱大妈,消费生活 / D轮及以上 / 2000人以上
数据可视化工程师,天河区,11k-15k,"11k-15k
                        经验1-3年 / 本科",省联合电子,"移动互联网,信息安全 / 不需要融资 / 500-2000人"
oracle数据库开发（体育西路）,天河北,10k-15k,"10k-15k
                        经验3-5年 / 本科",德惟科技,"金融,移动互联网 / 不需要融资 / 150-500人"
数据挖掘工程师,天河区,15k-30k,"15k-30k
                        经验3-5年 / 本科",太平洋网络有限公司,"电商,消费生活 / 上市公司 / 500-2000人"
数据分析师,员村,6k-12k,"6k-12k
                        经验1-3年 / 本科",上海浩宜信息科技有限公司,"数据服务,人工智能 / 不需要融资 / 150-500人"
数据仓库工程师,天河区,20k-40k,"20k-40k
                        经验不限 / 本科",网易,电商 / 上市公司 / 2000人以上
大数据开发工程师,海珠区,20k-30k,"20k-30k
                        经验5-10年 / 本科",明略科技集团,"数据服务,广告营销 / D轮及以上 / 2000人以上"
电商数据分析主任工程师,市桥,20k-30k,"20k-30k
                        经验5-10年 / 本科",美的电商,电商 / 上市公司 / 2000人以上
大数据开发工程师,冼村,18k-25k,"18k-25k
                        经验5-10年 / 本科",翡翠东方TVBC,文娱丨内容 / 不需要融资 / 150-500人
BI数据分析/运营专家,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 不限",蔚星科技,移动互联网 / 不需要融资 / 150-500人
大数据开发工程师,新港,8k-13k,"8k-13k
                        经验1-3年 / 大专",讯南网络,"通讯电子,软件开发 / 未融资 / 50-150人"
大数据开发工程师,大学城,10k-18k,"10k-18k
                        经验3-5年 / 本科",方纬科技,移动互联网 / 不需要融资 / 50-150人
大数据/区块链领域助理研究员,南沙区,15k-20k,"15k-20k
                        经验不限 / 硕士",中科院广州软件所,"移动互联网,数据服务 / 不需要融资 / 150-500人"
业务数据分析师,南洲,8k-13k,"8k-13k
                        经验1-3年 / 本科",巴图鲁公司,汽车丨出行 / C轮 / 500-2000人
高级产品经理（视频/直播/商业化/数据增长）,天河区,20k-28k,"20k-28k
                        经验3-5年 / 本科",智品网络,"移动互联网,电商 / A轮 / 50-150人"
管理培训生（数据分析-风险策略与建模方向）,珠江新城,8k-15k,"8k-15k
                        经验应届毕业生 / 硕士",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
数据仓库工程师,天河北,12k-24k,"12k-24k
                        经验3-5年 / 本科",全球购骑士特权,电商 / A轮 / 500-2000人
高级大数据开发工程师,天河区,23k-35k,"23k-35k
                        经验5-10年 / 本科",微世纪,移动互联网 / 天使轮 / 2000人以上
数据标注工程师（英语方向）,珠江新城,7k-12k,"7k-12k
                        经验不限 / 大专",网易,电商 / 上市公司 / 2000人以上
数据挖掘工程师,新港,15k-25k,"15k-25k
                        经验1-3年 / 本科",群接龙,"电商,社交 / A轮 / 50-150人"
数据运营专家,琶洲,12k-20k,"12k-20k
                        经验3-5年 / 本科",Fordeal,"电商,移动互联网 / C轮 / 2000人以上"
高级数据分析工程师 (MJ000131),天园,20k-40k,"20k-40k
                        经验5-10年 / 本科",荔枝,社交 / 上市公司 / 500-2000人
数据产品经理,珠江新城,12k-20k,"12k-20k
                        经验3-5年 / 本科",电声营销,广告营销 / 上市公司 / 2000人以上
大数据开发工程师,天河区,10k-18k,"10k-18k
                        经验3-5年 / 本科",广州南天,数据服务 / 上市公司 / 500-2000人
大数据运维工程师,棠下,13k-26k,"13k-26k
                        经验3-5年 / 本科",荔枝,社交 / 上市公司 / 500-2000人
数据工程师,景泰,7k-14k,"7k-14k
                        经验1-3年 / 本科",东方国信,数据服务 / 上市公司 / 2000人以上
数据中台产品经理-广州,珠江新城,20k-40k,"20k-40k
                        经验3-5年 / 本科",网易,电商 / 上市公司 / 2000人以上
数据建模师,珠江新城,9k-12k,"9k-12k
                        经验1-3年 / 硕士",数鼎,"移动互联网,数据服务 / 天使轮 / 15-50人"
大数据平台研发工程师,林和,15k-30k,"15k-30k
                        经验3-5年 / 本科",數立方,其他 / 上市公司 / 50-150人
数据挖掘算法工程师,越秀区,8k-15k,"8k-15k
                        经验不限 / 硕士",广东智源,"移动互联网,企业服务 / 不需要融资 / 50-150人"
