name,area,wage,experience,frim,others
大数据开发工程师 (MJ000452),南洲,20k-30k,"20k-30k
                        经验3-5年 / 本科",钱大妈,消费生活 / D轮及以上 / 2000人以上
数据研发工程师 (MJ000081),海珠区,15k-30k,"15k-30k
                        经验3-5年 / 本科",广州市迈创智能科技有限公司,"数据服务,人工智能 / A轮 / 50-150人"
数据分析,天河区,6k-10k,"6k-10k
                        经验1年以下 / 本科",桔子跑动,"人工智能,软件开发 / 不需要融资 / 15-50人"
大数据平台架构师,鱼珠,30k-50k,"30k-50k
                        经验5-10年 / 本科",云徙科技,"数据服务,移动互联网 / B轮 / 500-2000人"
Python数据工程师,林和,12k-24k,"12k-24k
                        经验1-3年 / 本科",數立方,其他 / 上市公司 / 50-150人
大数据开发工程师,萝岗区,13k-25k,"13k-25k
                        经验3-5年 / 本科",健客网,"电商,医疗丨健康 / B轮 / 500-2000人"
数据产品专员,同和,7k-10k,"7k-10k
                        经验1-3年 / 本科",枫车,"电商,消费生活 / 不需要融资 / 150-500人"
数据产品经理,黄埔区,15k-30k,"15k-30k
                        经验3-5年 / 本科",博依特,"企业服务,数据服务 / A轮 / 50-150人"
大数据开发工程师,天河区,23k-35k,"23k-35k
                        经验3-5年 / 本科",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
大数据平台架构师,海珠区,30k-60k,"30k-60k
                        经验5-10年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
数据库工程师DBA,天河区,15k-25k,"15k-25k
                        经验3-5年 / 本科",中移互联网,移动互联网 / 不需要融资 / 500-2000人
大数据运维（GZ）,五山,15k-25k,"15k-25k
                        经验3-5年 / 本科",北京瑞友,电商 / 上市公司 / 2000人以上
数据库工程师,五山,20k-37k,"20k-37k
                        经验5-10年 / 本科",温氏信息科技,"消费生活,移动互联网 / 上市公司 / 50-150人"
销售管理专员（数据）,萝岗区,5k-7k,"5k-7k
                        经验1-3年 / 大专",兴森快捷,硬件 / 未融资 / 2000人以上
数据分析实习生,越秀区,2k-3k,"2k-3k
                        经验1年以下 / 本科",快决测,其他 / A轮 / 50-150人
推广与数据分析专员,客村,5k-7k,"5k-7k
                        经验1-3年 / 本科",青木科技,电商 / 未融资 / 500-2000人
数据分析师,新港,15k-25k,"15k-25k
                        经验3-5年 / 大专",百布,移动互联网 / D轮及以上 / 500-2000人
数据分析师,南岗,10k-15k,"10k-15k
                        经验不限 / 本科",蓝月亮,消费生活 / 不需要融资 / 2000人以上
数据产品经理,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",卓牛科技,移动互联网 / 不需要融资 / 15-50人
数据分析工程师,客村,10k-20k,"10k-20k
                        经验不限 / 本科",骑鹅旅行,"旅游,数据服务 / A轮 / 50-150人"
数据仓库,市桥,8k-15k,"8k-15k
                        经验3-5年 / 本科",上海诺祺科技,金融 / 不需要融资 / 150-500人
C++（数据库内核）,五山,15k-30k,"15k-30k
                        经验3-5年 / 本科",海量数据,数据服务 / 上市公司 / 150-500人
天猫运营（数据方向）,东圃,4k-6k,"4k-6k
                        经验1年以下 / 大专",乐其电商,电商 / 不需要融资 / 500-2000人
人力资源数据分析师,车陂,15k-30k,"15k-30k
                        经验5-10年 / 本科",三七互娱,游戏 / 上市公司 / 2000人以上
数据分析师,新港,15k-25k,"15k-25k
                        经验3-5年 / 本科",如祺出行,汽车丨出行 / 未融资 / 150-500人
数据工程师 (MJ000026),岭南,20k-30k,"20k-30k
                        经验不限 / 本科",星环科技,数据服务 / D轮及以上 / 500-2000人
大数据品牌专员,珠江新城,5k-7k,"5k-7k
                        经验1-3年 / 本科",帷策,数据服务 / 不需要融资 / 50-150人
BI数据分析,五山,10k-15k,"10k-15k
                        经验3-5年 / 本科",CLPS,"数据服务,金融 / 未融资 / 500-2000人"
数据分析师,珠江新城,5k-10k,"5k-10k
                        经验3-5年 / 本科",仁里商务,"电商,其他 / 不需要融资 / 500-2000人"
数据中台负责人,东圃,20k-40k,"20k-40k
                        经验3-5年 / 本科",潭州教育,教育 / A轮 / 2000人以上
亚马逊数据分析师,荔湾区,6k-10k,"6k-10k
                        经验1-3年 / 本科",广州时易中,电商 / 未融资 / 150-500人
资深产品经理（商业化/数据/视频产品）,东圃,20k-30k,"20k-30k
                        经验1-3年 / 本科",智品网络,"移动互联网,电商 / A轮 / 50-150人"
数据库工程师实习生,海珠区,1k-2k,"1k-2k
                        经验应届毕业生 / 本科",广东亿迅,通讯电子 / 不需要融资 / 2000人以上
大数据开发工程师,珠江新城,18k-35k,"18k-35k
                        经验5-10年 / 本科",智灵时代,人工智能 / 不需要融资 / 150-500人
数据仓库工程师（BI/建模/报表/ETL）,黄埔区,15k-25k,"15k-25k
                        经验3-5年 / 本科",云徙科技,"数据服务,移动互联网 / B轮 / 500-2000人"
数据分析师,车陂,8k-10k,"8k-10k
                        经验1-3年 / 本科",博达祥和,其他 / 未融资 / 150-500人
数据开发工程师(J10431),大学城,14k-25k,"14k-25k
                        经验3-5年 / 本科",有米科技,广告营销 / 上市公司 / 150-500人
数据处理专员,天河北,4k-6k,"4k-6k
                        经验1年以下 / 大专",罗拉国际,电商 / 未融资 / 50-150人
